CVE_ID,cpe23Uri
CVE-2014-7037,"cpe:2.3:a:kuronecostudio:noble_sticker_\""free\"":1.0.7:*:*:*:*:android:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_540s_2.5\""_firmware:lsf031c:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_540s_2.5\""_firmware:lsbg200:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_540s_2.5\""_firmware:lsf036c:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:h:intel:ssd_540s_2.5\"":-:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_pro_5400s_2.5\""_firmware:lsf031p:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_pro_5400s_2.5\""_firmware:lbf010p:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_pro_5400s_2.5\""_firmware:lsf036p:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:h:intel:ssd_pro_5400s_2.5\"":-:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_e_5400s_2.5\""_firmware:lsf031e:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_e_5400s_2.5\""_firmware:lsmg200:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:o:intel:ssd_e_5400s_2.5\""_firmware:lsf036e:*:*:*:*:*:*:*"
CVE-2017-5695,"cpe:2.3:h:intel:ssd_e_5400s_2.5\"":-:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:*:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_7\"":-:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:*:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_15\"":-:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:*:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_4\"":-:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:*:*:*:*:*:*:*:*"
CVE-2019-10936,"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_22\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_7\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_15\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_4\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:16:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_22\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:update4:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:update5:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:15.1:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_7\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:15.1:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:15.1:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:15.1:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:15.1:update4:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:15.1:update5:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:15.1:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_15\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:15.1:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:15.1:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:15.1:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:15.1:update4:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:15.1:update5:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:15.1:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_4\"":-:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:15.1:update1:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:15.1:update2:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:15.1:update3:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:15.1:update4:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:15.1:update5:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:15.1:-:*:*:*:*:*:*"
CVE-2021-25660,"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_22\"":-:*:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:-:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update1:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update2:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update3:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_7\"":-:*:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:-:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:*:*:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update1:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update2:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update3:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:*:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_15\"":-:*:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:16:-:*:*:*:*:*:*"
CVE-2021-25661,"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:*:*:*:*:*:*:*:*"
