cpe23Uri,lastModifiedDate,cpe_version,part,vendor,product,version,update,edition,language,sw_edition,target_sw,target_hw,other,Official_website
"cpe:2.3:a:kuronecostudio:noble_sticker_\""free\"":1.0.7:*:*:*:*:android:*:*",2014-11-10T16:54Z,2.3,a,kuronecostudio,"noble_sticker_\""free\""",1.0.7,*,*,*,*,android,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Aa%3Akuronecostudio%3Anoble_sticker_%5C""free%5C""%3A1.0.7%3A*%3A*%3A*%3A*%3Aandroid%3A*%3A*"
"cpe:2.3:o:intel:ssd_540s_2.5\""_firmware:lsf031c:*:*:*:*:*:*:*",2021-05-04T14:18Z,2.3,o,intel,"ssd_540s_2.5\""_firmware",lsf031c,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Aintel%3Assd_540s_2.5%5C""_firmware%3Alsf031c%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:intel:ssd_540s_2.5\""_firmware:lsbg200:*:*:*:*:*:*:*",2021-05-04T14:18Z,2.3,o,intel,"ssd_540s_2.5\""_firmware",lsbg200,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Aintel%3Assd_540s_2.5%5C""_firmware%3Alsbg200%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:intel:ssd_540s_2.5\""_firmware:lsf036c:*:*:*:*:*:*:*",2021-05-04T14:18Z,2.3,o,intel,"ssd_540s_2.5\""_firmware",lsf036c,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Aintel%3Assd_540s_2.5%5C""_firmware%3Alsf036c%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:h:intel:ssd_540s_2.5\"":-:*:*:*:*:*:*:*",2021-04-30T18:41Z,2.3,h,intel,"ssd_540s_2.5\""",-,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ah%3Aintel%3Assd_540s_2.5%5C""%3A-%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:intel:ssd_pro_5400s_2.5\""_firmware:lsf031p:*:*:*:*:*:*:*",2021-05-04T14:24Z,2.3,o,intel,"ssd_pro_5400s_2.5\""_firmware",lsf031p,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Aintel%3Assd_pro_5400s_2.5%5C""_firmware%3Alsf031p%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:intel:ssd_pro_5400s_2.5\""_firmware:lbf010p:*:*:*:*:*:*:*",2021-05-04T14:24Z,2.3,o,intel,"ssd_pro_5400s_2.5\""_firmware",lbf010p,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Aintel%3Assd_pro_5400s_2.5%5C""_firmware%3Albf010p%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:intel:ssd_pro_5400s_2.5\""_firmware:lsf036p:*:*:*:*:*:*:*",2021-05-04T14:24Z,2.3,o,intel,"ssd_pro_5400s_2.5\""_firmware",lsf036p,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Aintel%3Assd_pro_5400s_2.5%5C""_firmware%3Alsf036p%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:h:intel:ssd_pro_5400s_2.5\"":-:*:*:*:*:*:*:*",2021-04-30T18:41Z,2.3,h,intel,"ssd_pro_5400s_2.5\""",-,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ah%3Aintel%3Assd_pro_5400s_2.5%5C""%3A-%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:intel:ssd_e_5400s_2.5\""_firmware:lsf031e:*:*:*:*:*:*:*",2021-05-04T14:22Z,2.3,o,intel,"ssd_e_5400s_2.5\""_firmware",lsf031e,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Aintel%3Assd_e_5400s_2.5%5C""_firmware%3Alsf031e%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
