CVE_ID,CWE_ID
CVE-1999-0001,CWE-20
CVE-1999-0002,CWE-119
CVE-1999-0007,CWE-327
CVE-1999-0012,CWE-41
CVE-1999-0012,CWE-58
CVE-1999-0017,CWE-441
CVE-1999-0027,CWE-119
CVE-1999-0035,CWE-364
CVE-1999-0046,CWE-120
CVE-1999-0067,CWE-78
CVE-1999-0067,CWE-74
CVE-1999-0067,CWE-77
CVE-1999-0073,CWE-642
CVE-1999-0074,CWE-342
CVE-1999-0077,CWE-342
CVE-1999-0113,CWE-88
CVE-1999-0168,CWE-441
CVE-1999-0179,CWE-17
CVE-1999-0199,CWE-252
CVE-1999-0226,CWE-19
CVE-1999-0227,CWE-264
CVE-1999-0234,CWE-194
CVE-1999-0236,CWE-200
CVE-1999-0239,CWE-178
CVE-1999-0265,CWE-20
CVE-1999-0278,CWE-69
CVE-1999-0284,CWE-120
CVE-1999-0332,CWE-119
CVE-1999-0344,CWE-264
CVE-1999-0348,CWE-200
CVE-1999-0349,CWE-119
CVE-1999-0351,CWE-421
CVE-1999-0366,CWE-287
CVE-1999-0372,CWE-200
CVE-1999-0385,CWE-120
CVE-1999-0387,CWE-255
CVE-1999-0426,CWE-276
CVE-1999-0428,CWE-384
CVE-1999-0453,CWE-200
CVE-1999-0491,CWE-94
CVE-1999-0496,CWE-264
CVE-1999-0509,CWE-94
CVE-1999-0513,CWE-941
CVE-1999-0513,CWE-406
CVE-1999-0524,CWE-200
CVE-1999-0605,CWE-200
CVE-1999-0606,CWE-200
CVE-1999-0656,CWE-16
CVE-1999-0680,CWE-287
CVE-1999-0690,CWE-427
CVE-1999-0700,CWE-119
CVE-1999-0701,CWE-16
CVE-1999-0702,CWE-94
CVE-1999-0721,CWE-20
CVE-1999-0725,CWE-16
CVE-1999-0726,CWE-20
CVE-1999-0728,CWE-264
CVE-1999-0728,CWE-782
CVE-1999-0755,CWE-255
CVE-1999-0766,CWE-16
CVE-1999-0777,CWE-264
CVE-1999-0783,CWE-59
CVE-1999-0783,CWE-62
CVE-1999-0794,CWE-59
CVE-1999-0794,CWE-356
CVE-1999-0802,CWE-119
CVE-1999-0813,CWE-271
CVE-1999-0839,CWE-264
CVE-1999-0858,CWE-16
CVE-1999-0861,CWE-362
CVE-1999-0867,CWE-20
CVE-1999-0874,CWE-119
CVE-1999-0875,CWE-16
CVE-1999-0876,CWE-119
CVE-1999-0877,CWE-200
CVE-1999-0886,CWE-16
CVE-1999-0891,CWE-94
CVE-1999-0898,CWE-119
CVE-1999-0899,CWE-264
CVE-1999-0909,CWE-264
CVE-1999-0918,CWE-20
CVE-1999-0945,CWE-120
CVE-1999-0981,CWE-59
CVE-1999-0987,CWE-287
CVE-1999-0993,CWE-665
CVE-1999-0994,CWE-255
CVE-1999-0995,CWE-20
CVE-1999-0999,CWE-20
CVE-1999-1011,CWE-264
CVE-1999-1029,CWE-223
CVE-1999-1055,CWE-356
CVE-1999-1066,CWE-406
CVE-1999-1077,CWE-288
CVE-1999-1082,CWE-23
CVE-1999-1082,CWE-33
CVE-1999-1083,CWE-41
CVE-1999-1083,CWE-55
CVE-1999-1120,CWE-426
CVE-1999-1125,CWE-282
CVE-1999-1127,CWE-772
CVE-1999-1127,CWE-404
CVE-1999-1136,CWE-200
CVE-1999-1152,CWE-307
CVE-1999-1156,CWE-241
CVE-1999-1193,CWE-266
CVE-1999-1193,CWE-842
CVE-1999-1193,CWE-269
CVE-1999-1214,CWE-255
CVE-1999-1237,CWE-120
CVE-1999-1263,CWE-36
CVE-1999-1263,CWE-38
CVE-1999-1270,CWE-214
CVE-1999-1318,CWE-427
CVE-1999-1324,CWE-307
CVE-1999-1326,CWE-271
CVE-1999-1363,CWE-410
CVE-1999-1379,CWE-941
CVE-1999-1379,CWE-406
CVE-1999-1383,CWE-264
CVE-1999-1386,CWE-59
CVE-1999-1386,CWE-61
CVE-1999-1446,CWE-446
CVE-1999-1454,CWE-288
CVE-1999-1456,CWE-41
CVE-1999-1456,CWE-50
CVE-1999-1461,CWE-427
CVE-1999-1462,CWE-200
CVE-1999-1476,CWE-833
CVE-1999-1476,CWE-1281
CVE-1999-1547,CWE-20
CVE-1999-1549,CWE-346
CVE-1999-1568,CWE-193
CVE-1999-1593,CWE-59
CVE-2000-0004,CWE-41
CVE-2000-0004,CWE-55
CVE-2000-0041,CWE-406
CVE-2000-0094,CWE-403
CVE-2000-0101,CWE-472
CVE-2000-0102,CWE-472
CVE-2000-0102,CWE-642
CVE-2000-0115,CWE-185
CVE-2000-0116,CWE-167
CVE-2000-0116,CWE-85
CVE-2000-0127,CWE-447
CVE-2000-0132,CWE-200
CVE-2000-0149,CWE-158
CVE-2000-0155,CWE-94
CVE-2000-0168,CWE-67
CVE-2000-0172,CWE-271
CVE-2000-0191,CWE-41
CVE-2000-0191,CWE-179
CVE-2000-0191,CWE-57
CVE-2000-0191,CWE-180
CVE-2000-0219,CWE-264
CVE-2000-0240,CWE-23
CVE-2000-0240,CWE-33
CVE-2000-0253,CWE-472
CVE-2000-0253,CWE-642
CVE-2000-0254,CWE-472
CVE-2000-0258,CWE-20
CVE-2000-0277,CWE-254
CVE-2000-0277,CWE-356
CVE-2000-0293,CWE-41
CVE-2000-0293,CWE-48
CVE-2000-0293,CWE-142
CVE-2000-0305,CWE-399
CVE-2000-0312,CWE-170
CVE-2000-0315,CWE-267
CVE-2000-0315,CWE-269
CVE-2000-0319,CWE-147
CVE-2000-0320,CWE-147
CVE-2000-0335,CWE-341
CVE-2000-0335,CWE-342
CVE-2000-0338,CWE-412
CVE-2000-0338,CWE-667
CVE-2000-0342,CWE-59
CVE-2000-0342,CWE-356
CVE-2000-0342,CWE-64
CVE-2000-0368,CWE-200
